Date Time,Event,Ticker,Expected,Actual,Surprise,Prior
09/03/2021 13:30,Unemployment Rate,UNRATE,5.20%,5.20%,0,5.40%
09/14/21 13:30,CPI MoM,CPI_MoM,0.40%,0.30%,-2.07,0.50%
09/22/21 19:00,FOMC Rate Decision (Upper Bound),INTR,0.25%,0.25%,0,0.25%
09/30/21 13:30,GDP Annualized QoQ,GDP_QoQ,6.60%,6.70%,0.94,6.60%
10/01/2021 13:30,PCE Price Index MoM,PCE_MoM,0.30%,0.40%,1.56,0.40%
10/08/2021 13:30,Unemployment Rate,UNRATE,5.10%,4.80%,-3.37,5.20%
10/13/21 13:30,CPI MoM,CPI_MoM,0.30%,0.40%,1.73,0.30%
10/28/21 13:30,GDP Annualized QoQ,GDP_QoQ,2.60%,2.00%,-0.64,6.70%
10/29/21 13:30,PCE Price Index MoM,PCE_MoM,0.30%,0.30%,0,0.40%
11/03/2021 18:00,FOMC Rate Decision (Upper Bound),INTR,0.25%,0.25%,0,0.25%
11/05/2021 12:30,Unemployment Rate,UNRATE,4.70%,4.60%,-1.35,4.80%
11/10/2021 13:30,CPI MoM,CPI_MoM,0.60%,0.90%,3.14,0.40%
