Date Time,Event,Ticker,Expected,Actual,Surprise,Prior
10/12/2023 13:30,CPI MoM,CPI_MoM,0.30%,0.40%,1.11,0.60%
10/26/23 13:30,GDP Annualized QoQ,GDP_QoQ,4.50%,4.90%,0.63,2.10%
10/27/23 13:30,PCE Price Index MoM,PCE_MoM,0.30%,0.40%,2.59,0.40%
11/01/2023 18:00,FOMC Rate Decision (Upper Bound),INTR,5.50%,5.50%,0,5.50%
11/03/2023 12:30,Unemployment Rate,UNRATE,3.80%,3.90%,1.68,3.80%
11/14/23 13:30,CPI MoM,CPI_MoM,0.10%,0.00%,-2.42,0.40%
11/29/23 13:30,GDP Annualized QoQ,GDP_QoQ,5.00%,5.20%,2.02,4.90%
11/30/23 13:30,PCE Price Index MoM,PCE_MoM,0.10%,0.00%,-2.21,0.40%
12/08/2023 13:30,Unemployment Rate,UNRATE,3.90%,3.70%,-3.36,3.90%
12/12/2023 13:30,CPI MoM,CPI_MoM,0.00%,0.10%,1.79,0.00%
12/13/23 19:00,FOMC Rate Decision (Upper Bound),INTR,5.50%,5.50%,0,5.50%
12/21/23 13:30,GDP Annualized QoQ,GDP_QoQ,5.20%,4.90%,-2.58,5.20%
12/22/23 13:30,PCE Price Index MoM,PCE_MoM,0.00%,-0.10%,-1.45,0.00%
01/05/2024 13:30,Unemployment Rate,UNRATE,3.80%,3.70%,-1.93,3.70%
01/11/2024 13:30,CPI MoM,CPI_MoM,0.20%,0.30%,1.39,0.10%
01/25/24 13:30,GDP Annualized QoQ,GDP_QoQ,2.00%,3.30%,4.58,4.90%
01/26/24 13:30,PCE Price Index MoM,PCE_MoM,0.20%,0.20%,0,-0.10%
01/31/24 19:00,FOMC Rate Decision (Upper Bound),INTR,5.50%,5.50%,0,5.50%
02/02/2024 13:30,Unemployment Rate,UNRATE,3.80%,3.70%,-1.56,3.70%
02/13/24 13:30,CPI MoM,CPI_MoM,0.20%,0.30%,1.82,0.30%
02/28/24 13:30,GDP Annualized QoQ,GDP_QoQ,3.30%,3.20%,-1.04,3.30%
02/29/24 13:30,PCE Price Index MoM,PCE_MoM,0.30%,0.30%,0,0.20%
03/08/2024 13:30,Unemployment Rate,UNRATE,3.70%,3.90%,3.33,3.70%
